mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2024-04,SC,PESADOS,2,0,2,488785
2024-04,SC,LEVES,1,0,1,13284
2024-04,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,25384
2024-04,SP,PESADOS,2,0,2,817231
2024-03,PR,PESADOS,14,0,14,1787025
2024-03,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",6,0,6,290267
2024-03,PR,LEVES,1,0,1,12630
2024-03,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,0,2,40701
2024-03,RS,PESADOS,1,0,1,131544
2024-03,SC,PESADOS,2,0,2,474948
2024-03,SC,LEVES,1,0,1,22598
2024-03,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,118068
2024-03,SP,PESADOS,1,0,1,50000
2024-02,MG,LEVES,1,0,1,22270
2024-02,PR,PESADOS,8,0,8,2001117
2024-02,PR,LEVES,4,0,4,128748
2024-02,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",6,0,6,400791
2024-02,PR,CARRETAS,1,0,1,289000
2024-02,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,0,2,106727
2024-02,RS,LEVES,2,0,2,108884
2024-02,SC,PESADOS,2,0,2,224034
2024-02,SP,PESADOS,2,0,2,612433
2024-02,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,33648
2024-01,,PESADOS,1,0,1,70000
2024-01,PR,PESADOS,7,0,7,1681632
2024-01,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",6,0,6,399650
2024-01,PR,LEVES,2,0,2,111152
2024-01,RS,PESADOS,2,0,2,361943
2024-01,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,38470
2024-01,SC,PESADOS,1,0,1,50000
2024-01,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,86063
2023-12,BA,PESADOS,1,0,1,230000
2023-12,GO,PESADOS,1,0,1,60000
2023-12,MT,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,32605
2023-12,PR,PESADOS,12,0,12,2277796
2023-12,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",7,0,7,427327
2023-12,PR,LEVES,1,0,1,50463
2023-12,RS,PESADOS,4,0,4,793733
2023-12,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,74568
2023-12,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,36142
